Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,Player_URL
SR Tendulkar (INDIA),1989-2012,463,452,41,18426,200*,44.83,21367,86.23,49,96,20,http://stats.espncricinfo.com/ci/content/player/35320.html
KC Sangakkara (Asia/ICC/SL),2000-2015,404,380,41,14234,169,41.98,18048,78.86,25,93,15,http://stats.espncricinfo.com/ci/content/player/50710.html
RT Ponting (AUS/ICC),1995-2012,375,365,39,13704,164,42.03,17046,80.39,30,82,20,http://stats.espncricinfo.com/ci/content/player/7133.html
ST Jayasuriya (Asia/SL),1989-2011,445,433,18,13430,189,32.36,14725,91.2,28,68,34,http://stats.espncricinfo.com/ci/content/player/49209.html
DPMD Jayawardene (Asia/SL),1998-2015,448,418,39,12650,144,33.37,16020,78.96,19,77,28,http://stats.espncricinfo.com/ci/content/player/49289.html
V Kohli (INDIA),2008-2020,245,236,39,11792,183,59.85,12626,93.39,43,57,13,http://stats.espncricinfo.com/ci/content/player/253802.html
Inzamam-ul-Haq (Asia/PAK),1991-2007,378,350,53,11739,137*,39.52,15812,74.24,10,83,20,http://stats.espncricinfo.com/ci/content/player/40570.html
JH Kallis (Afr/ICC/SA),1996-2014,328,314,53,11579,139,44.36,15885,72.89,17,86,17,http://stats.espncricinfo.com/ci/content/player/45789.html
SC Ganguly (Asia/INDIA),1992-2007,311,300,23,11363,183,41.02,15416,73.7,22,72,16,http://stats.espncricinfo.com/ci/content/player/28779.html
R Dravid (Asia/ICC/INDIA),1996-2011,344,318,40,10889,153,39.16,15284,71.24,12,83,13,http://stats.espncricinfo.com/ci/content/player/28114.html
MS Dhoni (Asia/INDIA),2004-2019,350,297,84,10773,183*,50.57,12303,87.56,10,73,10,http://stats.espncricinfo.com/ci/content/player/28081.html
CH Gayle (ICC/WI),1999-2019,301,294,17,10480,215,37.83,12019,87.19,25,54,25,http://stats.espncricinfo.com/ci/content/player/51880.html
BC Lara (ICC/WI),1990-2007,299,289,32,10405,169,40.48,13086,79.51,19,63,16,http://stats.espncricinfo.com/ci/content/player/52337.html
TM Dilshan (SL),1999-2016,330,303,41,10290,161*,39.27,11933,86.23,22,47,11,http://stats.espncricinfo.com/ci/content/player/48472.html
Mohammad Yousuf (Asia/PAK),1998-2010,288,273,40,9720,141*,41.71,12942,75.1,15,64,15,http://stats.espncricinfo.com/ci/content/player/43650.html
AC Gilchrist (AUS/ICC),1996-2008,287,279,11,9619,172,35.89,9922,96.94,16,55,19,http://stats.espncricinfo.com/ci/content/player/5390.html
AB de Villiers (Afr/SA),2005-2018,228,218,39,9577,176,53.5,9473,101.09,25,53,7,http://stats.espncricinfo.com/ci/content/player/44936.html
M Azharuddin (INDIA),1985-2000,334,308,54,9378,153*,36.92,12669,74.02,7,58,9,http://stats.espncricinfo.com/ci/content/player/26329.html
